2338_S/E CENTRAL PE VIENTOS PATAGONICOS (SM),-70.8326677287233,-52.9465897682389,2123_S/E PARGUA,-73.502036,-41.77812
2355_S/E TAP OFF SAN VICTOR (SM),-72.4314685578158,-45.3334365268719,526_S/E CALBUCO,-73.162897,-41.763336
2353_S/E SAN VICTOR (SM),-72.4302863196228,-45.3328957605607,506_S/E COLACO,-73.387687,-41.739294
2354_S/E CENTRAL HP SAN VICTOR (SM),-72.4302863196228,-45.3328957605607,2507_S/E CENTRAL LLAGUEPE (SM),-72.48746595,-41.72792082
525_S/E QUELLON,-73.615222,-43.091768,508_S/E EL EMPALME,-73.222434,-41.584333
317_S/E CENTRAL QUELLON II,-73.614555,-43.091617,2508_S/E CENTRAL COCHAMO (SM),-72.3080983,-41.55165442
1993_S/E CENTRAL CHILOE,-73.615474,-43.091425,2164_S/E CANUTILLAR,-72.341797,-41.528224
505_S/E CHONCHI,-73.806444,-42.627077,220_S/E CENTRAL CANUTILLAR,-72.341761,-41.528041
527_S/E CASTRO,-73.786621,-42.483772,268_S/E MOLINOS (ENLASA),-73.07766,-41.51847
2166_S/E GAMBOA,-73.82917574,-42.45772927,1728_S/E ALTO BONITO,-73.061148,-41.510787
515_S/E PID PID,-73.773731,-42.415526,529_S/E PUERTO MONTT (STS),-72.9535200750763,-41.4526312208838
1772_S/E DALCAHUE,-73.718192,-42.359555,585_S/E PUERTO MONTT,-72.95303,-41.451698
1703_S/E CENTRAL SAN PEDRO DALCAHUE,-73.89652456,-42.27306941,513_S/E MELIPULLI,-72954,-41.450482
2087_S/E CENTRAL DEGAÑ 2,-73.714084,-42.14511,2148_S/E SANGRA,-72.9613731160945,-41.3948307035421
2088_S/E CENTRAL DEGAÑ,-73.714051,-42.144886,520_S/E PUERTO VARAS,-72.997694,-41.317345
528_S/E DEGAN,-73.715056,-42.144779,2224_S/E LLANQUIHUE,-73.0066533103284,-41.2833263916905
531_S/E CHILOE,-73.71423445,-42.14432066,2281_S/E TINEO,-73.0930421900147,-41.280777486428
2258_S/E NUEVA ANCUD,-73.6788325852947,-41.958737129822,2091_S/E AURORA,-73.12178,-41.251671
2115_S/E CENTRAL CUCHILDEO,-72.4586144046005,-41.9555958340291,510_S/E FRUTILLAR,-73.05036,-41.128711
503_S/E ANCUD,-73.79799,-41.880878,2287_S/E FRUTILLAR NORTE,-73.0961208652509,-41.0699362392036
